CONCISE NET LIST - 1  
ANALOG_TO_MAROC<29>      CN2              6        CAPN4I-100NF,16V,X7R,CKCA43
ANALOG_TO_MAROC<29>      J1               59       CON150P-QSS75_01FDA-P1=GND_SIGA
ANALOG_TO_MAROC<30>      CN16             2        CAPN4I-100NF,16V,X7R,CKCA43
ANALOG_TO_MAROC<30>      J1               62       CON150P-QSS75_01FDA-P1=GND_SIGA
ANALOG_TO_MAROC<31>      CN2              8        CAPN4I-100NF,16V,X7R,CKCA43
ANALOG_TO_MAROC<31>      J1               63       CON150P-QSS75_01FDA-P1=GND_SIGA
ANALOG_TO_MAROC<32>      CN15             8        CAPN4I-100NF,16V,X7R,CKCA43
ANALOG_TO_MAROC<32>      J1               66       CON150P-QSS75_01FDA-P1=GND_SIGA
ANALOG_TO_MAROC<33>      CN1              2        CAPN4I-100NF,16V,X7R,CKCA43
ANALOG_TO_MAROC<33>      J1               67       CON150P-QSS75_01FDA-P1=GND_SIGA
ANALOG_TO_MAROC<34>      CN15             6        CAPN4I-100NF,16V,X7R,CKCA43
ANALOG_TO_MAROC<34>      J1               70       CON150P-QSS75_01FDA-P1=GND_SIGA
ANALOG_TO_MAROC<35>      CN1              4        CAPN4I-100NF,16V,X7R,CKCA43
ANALOG_TO_MAROC<35>      J1               71       CON150P-QSS75_01FDA-P1=GND_SIGA
ANALOG_TO_MAROC<36>      CN15             4        CAPN4I-100NF,16V,X7R,CKCA43
ANALOG_TO_MAROC<36>      J1               74       CON150P-QSS75_01FDA-P1=GND_SIGA
ANALOG_TO_MAROC<37>      CN1              6        CAPN4I-100NF,16V,X7R,CKCA43
ANALOG_TO_MAROC<37>      J1               75       CON150P-QSS75_01FDA-P1=GND_SIGA
ANALOG_TO_MAROC<38>      CN15             2        CAPN4I-100NF,16V,X7R,CKCA43
ANALOG_TO_MAROC<38>      J1               78       CON150P-QSS75_01FDA-P1=GND_SIGA
ANALOG_TO_MAROC<39>      CN1              8        CAPN4I-100NF,16V,X7R,CKCA43
ANALOG_TO_MAROC<39>      J1               79       CON150P-QSS75_01FDA-P1=GND_SIGA
ANALOG_TO_MAROC<40>      CN11             8        CAPN4I-100NF,16V,X7R,CKCA43
ANALOG_TO_MAROC<40>      J1               82       CON150P-QSS75_01FDA-P1=GND_SIGA
ANALOG_TO_MAROC<41>      CN5              2        CAPN4I-100NF,16V,X7R,CKCA43
ANALOG_TO_MAROC<41>      J1               83       CON150P-QSS75_01FDA-P1=GND_SIGA
ANALOG_TO_MAROC<42>      CN11             6        CAPN4I-100NF,16V,X7R,CKCA43
ANALOG_TO_MAROC<42>      J1               86       CON150P-QSS75_01FDA-P1=GND_SIGA
ANALOG_TO_MAROC<43>      CN5              4        CAPN4I-100NF,16V,X7R,CKCA43
