BODY ORDERED NET LIST - 1  
CN1              CAPN4I-100NF,16V,X7R,CKCA43 1        UNNAMED_1_CAPN4I_I10_A_13
                                  7        UNNAMED_1_CAPN4I_I10_A_3_6
                                  8        ANALOG_TO_MAROC<16>     
CN13             CAPN4I-100NF,16V,X7R,CKCA43 1        UNNAMED_1_CAPN4I_I10_A_2
                                  2        ANALOG_TO_MAROC<54>     
                                  3        UNNAMED_1_CAPN4I_I10_A_1_2
                                  4        ANALOG_TO_MAROC<52>     
                                  5        UNNAMED_1_CAPN4I_I10_A_2_2
                                  6        ANALOG_TO_MAROC<50>     
                                  7        UNNAMED_1_CAPN4I_I10_A_3_2
                                  8        ANALOG_TO_MAROC<48>     
CN14             CAPN4I-100NF,16V,X7R,CKCA43 1        UNNAMED_1_CAPN4I_I10_A_8
                                  2        ANALOG_TO_MAROC<14>     
                                  3        UNNAMED_1_CAPN4I_I10_A_1_8
                                  4        ANALOG_TO_MAROC<12>     
                                  5        UNNAMED_1_CAPN4I_I10_A_2_8
                                  6        ANALOG_TO_MAROC<10>     
                                  7        UNNAMED_1_CAPN4I_I10_A_3_8
                                  8        ANALOG_TO_MAROC<8>      
CN15             CAPN4I-100NF,16V,X7R,CKCA43 1        UNNAMED_1_CAPN4I_I10_A_4
                                  2        ANALOG_TO_MAROC<38>     
                                  3        UNNAMED_1_CAPN4I_I10_A_1_4
                                  4        ANALOG_TO_MAROC<36>     
                                  5        UNNAMED_1_CAPN4I_I10_A_2_4
                                  6        ANALOG_TO_MAROC<34>     
                                  7        UNNAMED_1_CAPN4I_I10_A_3_4
                                  8        ANALOG_TO_MAROC<32>     
CN16             CAPN4I-100NF,16V,X7R,CKCA43 1        UNNAMED_1_CAPN4I_I10_A_5
                                  2        ANALOG_TO_MAROC<30>     
                                  3        UNNAMED_1_CAPN4I_I10_A_1_5
                                  4        ANALOG_TO_MAROC<28>     
                                  5        UNNAMED_1_CAPN4I_I10_A_2_5
                                  6        ANALOG_TO_MAROC<26>     
                                  7        UNNAMED_1_CAPN4I_I10_A_3_5
                                  8        ANALOG_TO_MAROC<24>     
D1               TVS_DIODE_ARRAY_SP3010_UDFN-SPA 1        UNNAMED_1_CAPN4I_I10_A_13
                                  2        UNNAMED_1_CAPN4I_I10_A_1_13
                                  3        GND_SIGNAL              
                                  4        UNNAMED_1_CAPN4I_I10_A_2_13
                                  5        UNNAMED_1_CAPN4I_I10_A_3_13
                                  6        UNNAMED_1_CAPN4I_I10_A_3_13
                                  7        UNNAMED_1_CAPN4I_I10_A_2_13
                                  8        GND_SIGNAL              
                                  9        UNNAMED_1_CAPN4I_I10_A_1_13
                                  10       UNNAMED_1_CAPN4I_I10_A_13
D2               TVS_DIODE_ARRAY_SP3010_UDFN-SPA 1        UNNAMED_1_CAPN4I_I10_A_11
                                  2        UNNAMED_1_CAPN4I_I10_A_1_11
                                  3        GND_SIGNAL              
                                  4        UNNAMED_1_CAPN4I_I10_A_2_11
                                  5        UNNAMED_1_CAPN4I_I10_A_3_11
                                  6        UNNAMED_1_CAPN4I_I10_A_3_11
                                  7        UNNAMED_1_CAPN4I_I10_A_2_11
                                  8        GND_SIGNAL              
                                  9        UNNAMED_1_CAPN4I_I10_A_1_11
                                  10       UNNAMED_1_CAPN4I_I10_A_11
D3               TVS_DIODE_ARRAY_SP3010_UDFN-SPA 1        UNNAMED_1_CAPN4I_I10_A_16
                                  2        UNNAMED_1_CAPN4I_I10_A_1_16
                                  3        GND_SIGNAL              
                                  4        UNNAMED_1_CAPN4I_I10_A_2_16
                                  5        UNNAMED_1_CAPN4I_I10_A_3_16
                                  6        UNNAMED_1_CAPN4I_I10_A_3_16
                                  7        UNNAMED_1_CAPN4I_I10_A_2_16
                                  8        GND_SIGNAL              
                                  9        UNNAMED_1_CAPN4I_I10_A_1_16
                                  10       UNNAMED_1_CAPN4I_I10_A_16
D4               TVS_DIODE_ARRAY_SP3010_UDFN-SPA 1        UNNAMED_1_CAPN4I_I10_A_10
                                  2        UNNAMED_1_CAPN4I_I10_A_1_10
                                  3        GND_SIGNAL              
                                  4        UNNAMED_1_CAPN4I_I10_A_2_10
                                  5        UNNAMED_1_CAPN4I_I10_A_3_10
                                  6        UNNAMED_1_CAPN4I_I10_A_3_10
                                  7        UNNAMED_1_CAPN4I_I10_A_2_10
                                  8        GND_SIGNAL              
                                  9        UNNAMED_1_CAPN4I_I10_A_1_10
                                  10       UNNAMED_1_CAPN4I_I10_A_10
D5               TVS_DIODE_ARRAY_SP3010_UDFN-SPA 1        UNNAMED_1_CAPN4I_I10_A_14
                                  2        UNNAMED_1_CAPN4I_I10_A_1_14
                                  3        GND_SIGNAL              
                                  4        UNNAMED_1_CAPN4I_I10_A_2_14
                                  5        UNNAMED_1_CAPN4I_I10_A_3_14
                                  6        UNNAMED_1_CAPN4I_I10_A_3_14
                                  7        UNNAMED_1_CAPN4I_I10_A_2_14
                                  8        GND_SIGNAL              
                                  9        UNNAMED_1_CAPN4I_I10_A_1_14
