CONCISE PART LIST - 1  
1-HOLE_0-8-BASE                           77      
RSMD0603_1/16W-1.2K,1% R0603_1K2_1%_0.063W_100PPM 5       
RSMD0603_1/16W-2.4K,1% R0603_2K4_1%_0.063W_100PPM 7       
RSMD0603_1/16W-40.2K,1% R0603_40K2_1%_0.063W_100PPM 1       
RSMD0603_1/16W-9K,1% R0603_9K_1%_0.063W_100PPM 1       
RSMD0805_-00,    R0805_00_JUMPER          2       
S25FL128SAGMFIR01-VCC=P3V3,VSSA S25FL128SAGMFIR01        1       
SFP_CAGE-6367034-1-GND=GND_SIGA 6367034-1                2       
SFP_CAGE-6367035-1-GND=GND_SIGA 6367035-1                2       
SK_SATA_SMD_STR-MOLEX Molex 67800-5025         2       
SN65LVDS1_SOT23-5-TEXAS INSTRUA snlvds1dbv               1       
SN74LVC1G06DBVT-GND=GND_SIGNALA SN74LVC1G06DBVT          1       
SW4INT-1571983-4 1571983-4                1       
SW_PUSHBUTTON_1SPSTA_4P_1-OMROA b3sn-3012                3       
TPS71701DCKRG4_SC70-TEXAS INSTA TI tps71701dckrg4        1       

Total                                     486     
END CONCISE PART LIST
