A!REFDES!COMP_REUSE_ID!COMP_SIGNAL_MODEL!COMP_NO_XNET_CONNECTION!COMP_PARENT_PPT!COMP_SYMBOL_EDITED!COMP_PARENT_PPT_PART!COMP_EMBEDDED_PLACEMENT!
J!/projects/HEP_Instrumentation/cad/designs/uob-hep-pc049a/trunk/design_files/worklib/pc049a_toplevel/physical/02_09_2014_pc049a_toplevel_36_a16-5.brd!Fri Oct  3 09:30:51 2014!-300.0000!-200.0000!500.0000!350.0000!0.0001!millimeters!PC049A_TOPLEVEL!62.755906 mil!10!UP TO DATE!
S!C12!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0402-1UF,16V!!
S!C24!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0402-1UF,16V!!
S!C25!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0402-1UF,16V!!
S!C27!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0402-1UF,16V!!
S!C59!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0402-1UF,16V!!
S!C71!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0402-1UF,16V!!
S!C107!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0402-1UF,16V!!
S!C110!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0402-1UF,16V!!
S!C51!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0805-22UF,6.3V!!
S!C52!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0805-22UF,6.3V!!
S!C53!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0805-22UF,6.3V!!
S!C54!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0805-22UF,6.3V!!
S!C55!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0805-22UF,6.3V!!
S!C65!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0805-22UF,6.3V!!
S!C67!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0805-22UF,6.3V!!
S!C74!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0805-22UF,6.3V!!
S!C99!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0805-22UF,6.3V!!
S!C43!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0805-22UF,6.3V!!
S!C98!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0805-22UF,6.3V!!
S!C129!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0805-22UF,6.3V!!
S!C104!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0805-22UF,6.3V!!
