LOGICAL PART CROSS REFERENCE - 13-Mar-2014 AT 16:16:51

DRAWING: @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):PAGE1 

MAROC3_PQFP-IN2P3  I1  U1
  36 ANALOG_IN<37>   IN37 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(37)
  37 ANALOG_IN<38>   IN38 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(38)
  38 ANALOG_IN<39>   IN39 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(39)
  39 ANALOG_IN<40>   IN40 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(40)
  40 ANALOG_IN<41>   IN41 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(41)
  41 ANALOG_IN<42>   IN42 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(42)
  42 ANALOG_IN<43>   IN43 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(43)
  43 ANALOG_IN<44>   IN44 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(44)
  44 ANALOG_IN<45>   IN45 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(45)
  45 ANALOG_IN<46>   IN46 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(46)
  46 ANALOG_IN<47>   IN47 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(47)
  47 ANALOG_IN<48>   IN48 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(48)
  48 ANALOG_IN<49>   IN49 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(49)
  49 ANALOG_IN<50>   IN50 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(50)
  50 ANALOG_IN<51>   IN51 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(51)
  51 ANALOG_IN<52>   IN52 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(52)
  52 ANALOG_IN<53>   IN53 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(53)
  53 ANALOG_IN<54>   IN54 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(54)
  54 ANALOG_IN<55>   IN55 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(55)
  55 ANALOG_IN<56>   IN56 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(56)
  56 ANALOG_IN<57>   IN57 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(57)
  57 ANALOG_IN<58>   IN58 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(58)
  58 ANALOG_IN<59>   IN59 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(59)
  59 ANALOG_IN<60>   IN60 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(60)
  60 ANALOG_IN<61>   IN61 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(61)
  61 ANALOG_IN<62>   IN62 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(62)
  62 ANALOG_IN<63>   IN63 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):ANALOG_IN(63)
 182 TRIG<0>   OUT0 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(0)
 181 TRIG<1>   OUT1 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(1)
 180 TRIG<2>   OUT2 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(2)
 179 TRIG<3>   OUT3 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(3)
 178 TRIG<4>   OUT4 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(4)
 177 TRIG<5>   OUT5 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(5)
 176 TRIG<6>   OUT6 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(6)
 175 TRIG<7>   OUT7 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(7)
 174 TRIG<8>   OUT8 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(8)
 173 TRIG<9>   OUT9 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(9)
 172 TRIG<10>  OUT10 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(10)
 171 TRIG<11>  OUT11 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(11)
 170 TRIG<12>  OUT12 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(12)
 169 TRIG<13>  OUT13 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(13)
 168 TRIG<14>  OUT14 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(14)
 167 TRIG<15>  OUT15 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(15)
 166 TRIG<16>  OUT16 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(16)
 165 TRIG<17>  OUT17 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(17)
 164 TRIG<18>  OUT18 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(18)
 163 TRIG<19>  OUT19 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(19)
 162 TRIG<20>  OUT20 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(20)
 161 TRIG<21>  OUT21 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(21)
 160 TRIG<22>  OUT22 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(22)
 159 TRIG<23>  OUT23 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(23)
 158 TRIG<24>  OUT24 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(24)
 157 TRIG<25>  OUT25 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(25)
 156 TRIG<26>  OUT26 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(26)
 155 TRIG<27>  OUT27 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(27)
 154 TRIG<28>  OUT28 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(28)
 153 TRIG<29>  OUT29 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(29)
 152 TRIG<30>  OUT30 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(30)
 151 TRIG<31>  OUT31 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(31)
 149 TRIG<32>  OUT32 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(32)
 148 TRIG<33>  OUT33 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(33)
 147 TRIG<34>  OUT34 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(34)
 146 TRIG<35>  OUT35 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(35)
 145 TRIG<36>  OUT36 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(36)
 144 TRIG<37>  OUT37 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(37)
 143 TRIG<38>  OUT38 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(38)
 142 TRIG<39>  OUT39 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(39)
 141 TRIG<40>  OUT40 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(40)
 140 TRIG<41>  OUT41 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(41)
 139 TRIG<42>  OUT42 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(42)
 138 TRIG<43>  OUT43 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(43)
 137 TRIG<44>  OUT44 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(44)
 136 TRIG<45>  OUT45 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(45)
 135 TRIG<46>  OUT46 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(46)
 134 TRIG<47>  OUT47 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(47)
 133 TRIG<48>  OUT48 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(48)
 132 TRIG<49>  OUT49 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(49)
 131 TRIG<50>  OUT50 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(50)
 130 TRIG<51>  OUT51 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(51)
 129 TRIG<52>  OUT52 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(52)
 128 TRIG<53>  OUT53 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(53)
 127 TRIG<54>  OUT54 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(54)
 126 TRIG<55>  OUT55 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(55)
 125 TRIG<56>  OUT56 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(56)
 124 TRIG<57>  OUT57 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(57)
 123 TRIG<58>  OUT58 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(58)
 122 TRIG<59>  OUT59 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(59)
 121 TRIG<60>  OUT60 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(60)
 120 TRIG<61>  OUT61 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(61)
 119 TRIG<62>  OUT62 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(62)
 118 TRIG<63>  OUT63 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(63)
 191 UNNAMED_1_MAROC3_I1_OR0   OR_0 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):UNNAMED_1_MAROC3_I1_OR0
 192 UNNAMED_1_MAROC3_I1_OR1   OR_1 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):UNNAMED_1_MAROC3_I1_OR1
 232     NC     NC     NC
 218 SUM<6>   SUM6 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):SUM(6)
 220 SUM<5>   SUM5 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):SUM(5)
 222 SUM<4>   SUM4 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):SUM(4)
 224 SUM<3>   SUM3 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):SUM(3)
 226 SUM<2>   SUM2 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):SUM(2)
 228 SUM<1>   SUM1 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):SUM(1)
 216 SUM<7>   SUM7 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):SUM(7)
 214 SUM<8>   SUM8 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):SUM(8)

RSMD0402_1/16W-51,1%  I146  R1
   1 UNNAMED_1_MAROC3_I1_OR0   A<0> @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):UNNAMED_1_MAROC3_I1_OR0
   2  OR<0>   B<0> @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):OR(0)

RSMD0402_1/16W-51,1%  I147  R2
   1 UNNAMED_1_MAROC3_I1_OR1   A<0> @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):UNNAMED_1_MAROC3_I1_OR1
   2  OR<1>   B<0> @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):OR(1)

1-HOLE_0-8-BASE  I148  LK51
   1  OR<0>   A<0> @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):OR(0)

1-HOLE_0-8-BASE  I149  LK52
   1  OR<1>   A<0> @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):OR(1)

1-HOLE_0-8-BASE  I150  LK26
   1 TRIG<0>   A<0> @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):TRIG(0)


DRAWING: @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):PAGE2 

MAROC3_PQFP-IN2P3  I1  U1
  63 GND_SIGNAL GND_PA @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
  65 GND_SIGNAL   VSSA @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
  85 GND_SIGNAL GND_DAC @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
 109 GND_SIGNAL GND_DISCRI @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
  73 GND_SIGNAL GND_NMOS @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
  30 GND_SIGNAL GND_PA2 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
  77 GND_SIGNAL  GND_W @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
  98 GND_SIGNAL GND_WILK @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
  87 VDD_DAC VDD_DAC @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):VDD_DAC
 105 VDD_DISCRI VDD_DISCRI @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):VDD_DISCRI
 107 VDD_DISCRIADC VDD_DISCRIADC @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):VDD_DISCRIADC
  90 VDD_FSU1 VDD_FSU1 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):VDD_FSU1
  67 VDD_PA VDD_PA @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):VDD_PA
  83  VDD_W  VDD_W @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):VDD_W
 100 VDD_WILK VDD_WILK @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):VDD_WILK
 102 GND_SIGNAL  VSSA2 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
 111 GND_SIGNAL   VSSD @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
 103 GND_SIGNAL   VSSM @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
 112 GND_SIGNAL   GNDD @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
 113  VDDD2  VDDD2 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):VDDD2
 150 GND_SIGNAL  VSSD2 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
 183 GND_SIGNAL  GNDD2 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
 185   VDDD   VDDD @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):VDDD
 189 GND_SIGNAL  VSSD3 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
 193 VDD_DISCRIADC VDD_DISCRIADC2 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):VDD_DISCRIADC
 195 GND_SIGNAL GND_DISCRI2 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
 197 GND_SIGNAL  VSSM2 @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
 198 GND_SIGNAL    VSS @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
 202 GND_SIGNAL GND_FSU @UOB_HEP_PC049A_LIB.PC043C_SINGLE_MAROC(SCH_1):GND_SIGNAL
